DOMAIN,SUPERGROUP,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,GENES,GENE ID,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_8621,5697086,https://www.ncbi.nlm.nih.gov/gene/5697086,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_14842,5697097,https://www.ncbi.nlm.nih.gov/gene/5697097,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_115830,5703254,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_136004,5703253,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_136003,5703252,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_114165,5703248,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_7982,5703239,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_28379,5703232,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_114180,5703218,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_23888,5703216,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_33689,5703215,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_86511,5703208,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_137752,5703202,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_7272,5703194,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_5435,5703171,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_93358,5703167,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_103713,5703157,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_14203,5703128,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_5772,5703085,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_95549,5703078,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_14324,5703075,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_95593,5703053,,
Eukaryota,Excavata,Protozoa,Metamonada,,Zooflagellate,,Diplomanadida,Hexamitidae,Giardia,lamblia,GL50803_14521,5703042,,
Eukaryota,,,,,,,,Hexamitidae,Octomitus,,SSU rRNA ,DQ366277.1,"Keeling, Patrick J., and Guy Brugerolle. ""Evidence from SSU rRNA phylogeny that Octomitus is a sister lineage to Giardia."" Protist 157.2 (2006): 205-212.",
Eukaryota,,,Metamonada,,Carpediemonadea,,Carpediemonadida,Hexamitidae,Carpediemonas,,SSU rRNA ,AY117416.1 ,,
Eukaryota,,,Metamonada,,Carpediemonadea,,Carpediemonadida,Hexamitidae,Carpediemonas,,HSP90,AB600308.1,"Kolisko, Martin, et al. ""Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads."" BMC evolutionary biology 8.1 (2008): 205.",
Eukaryota,,,Metamonada,,Carpediemonadea,,Carpediemonadida,Hexamitidae,Carpediemonas,,_-tubulin,AB600306.1 ,,
,,,,,,,Carpediemonadida,Hexamitidae,Carpediemonas,,B-tubulin,AB600307.1,,
Eukaryota,,,,,,,,Hexamitidae,Retortamonas,,SSU rRNA ,AF439349.1,,
Eukaryota,,,,,,,,Hexamitidae,Retortamonas,,HSP90,EF551172.1,,
Eukaryota,,,,,,,,Hexamitidae,Enteromonas,,SSU rRNA ,EF551178.1 ,"Kolisko, Martin, et al. ""Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads."" BMC evolutionary biology 8.1 (2008): 205.",
Eukaryota,,,,,,,,Hexamitidae,Enteromonas,,HSP90,EF551169.1 ,,
Eukaryota,,,,,,,,Hexamitidae,Enteromonas,,_-tubulin,EF551186.1,,
Eukaryota,,,,,,,,Hexamitidae,Trimitus,,SSU rRNA ,AY701874.1 ,"Kolisko, Martin, et al. ""Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads."" BMC evolutionary biology 8.1 (2008): 205.",
Eukaryota,,,,,,,,Hexamitidae,Trimitus,,HSP90,EF551171.1,,
Eukaryota,,,,,,,,Hexamitidae,Trimitus,,_-tubulin,EF551183.1,,
Eukaryota,,,,,,,,Hexamitidae,Spironucleus,,SSU rRNA ,DQ394703.1,"Kolisko, Martin, et al. ""Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads."" BMC evolutionary biology 8.1 (2008): 205.",
Eukaryota,,,,,,,,Hexamitidae,Spironucleus,,HSP90,DQ295222.2,,
Eukaryota,,,,,,,,Hexamitidae,Spironucleus,,_-tubulin,U37079.1,"Keeling, Patrick J., and W. Ford Doolittle. ""A non_canonical genetic code in an early diverging eukaryotic lineage.""ﾊThe EMBO journalﾊ15.9 (1996): 2285-2290.",
Eukaryota,,,,,,,,Hexamitidae,Spironucleus,,EF-1_,U94406.1,,
Eukaryota,,,,,,,,Hexamitidae,Hexamita,,SSU rRNA ,EF050053.1,"Kolisko, Martin, et al. ""Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads."" BMC evolutionary biology 8.1 (2008): 205.",
Eukaryota,,,,,,,,Hexamitidae,Hexamita,,HSP90,AY462240.1,,
Eukaryota,,,,,,,,Hexamitidae,Hexamita,,_-tubulin,U93088.1,"Keeling, Patrick J., and W. Ford Doolittle. ""A non_canonical genetic code in an early diverging eukaryotic lineage.""ﾊThe EMBO journalﾊ15.9 (1996): 2285-2290.",
Eukaryota,,,,,,,,Hexamitidae,Hexamita,,EF-1_,U93087.1,,
Eukaryota,,,,,,,,Hexamitidae,Hexamita,,_-tubulin,AY277792.1,,
Eukaryota,,,,,,,,Hexamitidae,Trepomonas,,SSU rRNA ,U53120.1,"Kolisko, Martin, et al. ""Molecular phylogeny of diplomonads and enteromonads based on SSU rRNA, alpha-tubulin and HSP90 genes: implications for the evolutionary history of the double karyomastigont of diplomonads."" BMC evolutionary biology 8.1 (2008): 205.",
Eukaryota,,,,,,,,Hexamitidae,Trepomonas,,EF-1_,AB665184.1,"Cavalier-Smith, T., and E. E. Chao. ""Molecular phylogeny of the free-living archezoanTrepomonas agilis and the nature of the first eukaryote.""ﾊJournal of Molecular Evolutionﾊ43.6 (1996): 551-562.",
Eukaryota,,,,,,,,Hexamitidae,Trepomonas,,_-tubulin,HM244878.1,,
Eukaryota,,,,,,,,,,,,,,
Eukaryota,Excavata,Protozoa,,,Parabasalia,,Trichomonadida,Trichomonadidae,Trichomonas,,18S SSU rRNA,JX512966.1,"Marx, Melanie, et al. ""High prevalence of Trichomonas gallinae in wild columbids across western and southern Europe.""ﾊParasites & vectorsﾊ10.1 (2017): 242.",
Eukaryota,,,,,,,Trichomonadida,Trichomonadidae,Trichomonas,,_-tubulin,EU215382.1,"Marx, Melanie, et al. ""High prevalence of Trichomonas gallinae in wild columbids across western and southern Europe.""ﾊParasites & vectorsﾊ10.1 (2017): 242.",
Eukaryota,,,,,,,Trichomonadida,Trichomonadidae,Trichomonas,,actin,EU076578.1,"Masha, Simon C., et al. ""Molecular typing of Trichomonas vaginalis isolates by actin gene sequence analysis and carriage of T. vaginalis viruses.""ﾊParasites & vectorsﾊ10.1 (2017): 537.",
Eukaryota,,,,,,,,,,,EF-1_,AF058282.1,,
Eukaryota,,,,,,,,,,,_-tubulin,L05468.1,,
Eukaryota,,,,,,,,,,,Fe hydrogenase,U19897.1,"Marx, Melanie, et al. ""High prevalence of Trichomonas gallinae in wild columbids across western and southern Europe.""ﾊParasites & vectorsﾊ10.1 (2017): 242.",
Eukaryota,Amoebozoa,Protozoa,,,Archamoebae,,,Entamoebidae,Entamoeba,,HSP90,AB092411.1,"Mai, Zhiming, et al. ""Hsp60 is targeted to a cryptic mitochondrion-derived organelle (ﾒcryptonﾓ) in the microaerophilic protozoan parasite Entamoeba histolytica.""ﾊMolecular and Cellular Biologyﾊ19.3 (1999): 2198-2205.",
Eukaryota,,,,,,,,Entamoebidae,Entamoeba,,CPN60,L39934.1,"Tovar, Jorge, Anke Fischer, and C. Graham Clark. ""The mitosome, a novel organelle related to mitochondria in the amitochondrial parasite Entamoeba histolytica.""ﾊMolecular microbiologyﾊ32.5 (1999): 1013-1021.",
Eukaryota,,,,,,,,Entamoebidae,Entamoeba,,lectin,X83757.1,"Buｧ, Heidrun, et al. ""Analysis of the 170-kDa lectin gene promoter of Entamoeba histolytica.""ﾊMolecular and biochemical parasitologyﾊ72.1-2 (1995): 1-10.",
Eukaryota,,,,,,,,Entamoebidae,Entamoeba,,18-S rRNA,XM_008858368,"Silberman, Jeffrey D., et al. ""Phylogeny of the genera Entamoeba and Endolimax as deduced from small-subunit ribosomal RNA sequences.""ﾊMolecular biology and evolution16.12 (1999): 1740-1751.",
Eukaryota,,,,,,,,Entamoebidae,Entamoeba,,16-S rRNA,KF646247.1,"Silberman, Jeffrey D., et al. ""Phylogeny of the genera Entamoeba and Endolimax as deduced from small-subunit ribosomal RNA sequences.""ﾊMolecular biology and evolution16.12 (1999): 1740-1751.",
Eukaryota,,,,,,,,Entamoebidae,Endolimax,,16-S rRNA,AF149916.1,"Silberman, Jeffrey D., et al. ""Phylogeny of the genera Entamoeba and Endolimax as deduced from small-subunit ribosomal RNA sequences.""ﾊMolecular biology and evolution16.12 (1999): 1740-1751.",
Eukaryota,,,,,,,,Entamoebidae,Endolimax,,18-S rRNA,JX101955.1,"Silberman, Jeffrey D., et al. ""Phylogeny of the genera Entamoeba and Endolimax as deduced from small-subunit ribosomal RNA sequences.""ﾊMolecular biology and evolution16.12 (1999): 1740-1751.",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Amoeba,proteus,16S rRNA,AJ314604.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Amoeba,proteus,actin,AY294160.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Chaos,carolinense,actin,AY294157.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Dermamoeba,algensis,actin,AY294159.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Dermamoeba,algensis,SSU rRNA ,AY294148.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Glaeseria,mira,actin,AY294155.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Glaeseria,mira,SSU rRNA ,AY294146.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Hartmannella,cantabrigiensis,actin,AY294158.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Hartmannella,cantabrigiensis,SSU rRNA ,DQ190241.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Mayorella,,actin,AY294152.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Mayorella,,SSU rRNA ,AY294143.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,Protozoa,,Lobosa,Archamoebae,,Pelobiontida,Pelomyxidae,Pelomyxa,palustris,actin,KJ879581.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,Protozoa,,Lobosa,Archamoebae,,Pelobiontida,Pelomyxidae,Pelomyxa,palustris,SSU rRNA,AF320348.1,"Milyutina, Irina A., et al. ""The unusually long SSU RNA gene found in amitochondriate amoeboflagellate Pelomyxa palustris""ﾊGene272.1 (2001): 131-139.",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Platyamoeba,placida,actin,AY294153.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Platyamoeba,placida,SSU rRNA ,AY294150.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Thecamoeba,similis,actin,EF455773.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Thecamoeba,similis,SSU rRNA ,EF455775.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Thecamoeba,similis,_-tubulin,EF455756.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Thecamoeba,similis,_-tubulin,EF455789.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Vannella,ebro,actin,AY294151.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,,,,,Vannella,pentlandii,SSU rRNA ,KY344796.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,Amoebozoa,,Gymnamoebae,Lobosa,,,,,Vexillifera,minutissima,SSU rRNA ,AY294149.1,"Fahrni, Jose F., et al. ""Phylogeny of lobose amoebae based on actin and small_subunit ribosomal RNA genes.""ﾊJournal of Eukaryotic Microbiologyﾊ52.2 (2005).",
Eukaryota,,,,,Archamoebae,,,Mastigamoebidae,Mastigamoeba (Breviata),invertens (anathema),SSU rRNA,AF153206.1,"Stiller, John W., and Benjamin D. Hall. ""Long-branch attraction and the rDNA model of early eukaryotic evolution.""ﾊMolecular Biology and Evolutionﾊ16.9 (1999): 1270-1279.",https://rdp.cme.msu.edu/
Eukaryota,,,,,,,,,Trypanosoma,,18S rRNA,AB242276.1,"Lopes, Camila Madeira Tavares, et al. ""Trypanosoma janseni n. sp.(Trypanosomatida: Trypanosomatidae) isolated from Didelphis aurita (Mammalia: Didelphidae) in the Atlantic Rainforest of Rio de Janeiro, Brazil: integrative taxonomy and phylogeography within the Trypanosoma cruzi clade.""ﾊMem羊ias do Instituto Oswaldo Cruzﾊ113.1 (2018): 45-55.",
Eukaryota,,,,,,,,,Trypanosoma,,gGAPDH,MF144729.1,"Lopes, Camila Madeira Tavares, et al. ""Trypanosoma janseni n. sp.(Trypanosomatida: Trypanosomatidae) isolated from Didelphis aurita (Mammalia: Didelphidae) in the Atlantic Rainforest of Rio de Janeiro, Brazil: integrative taxonomy and phylogeography within the Trypanosoma cruzi clade.""ﾊMem羊ias do Instituto Oswaldo Cruzﾊ113.1 (2018): 45-55.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Apobryophyllum,,18S rRNA,KY556646.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Arcuospathidium,,18S rRNA,KT246076.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Balantidion,,18S rRNA,JF263444.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Cultellothrix,,18S rRNA,KF733755.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Enchelyodon,,18S rRNA,JF263446.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Enchelys,,18S rRNA,JF263446.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Fuscheria,,18S rRNA,KF733753.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Protospathidium,,18S rRNA,JF263449.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Semispathidium,,18S rRNA,JF263450.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Spathidium,,18S rRNA,Z22931.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
Eukaryota,Ciliaphora,,,,Litostomatea,,,,Trachelophyllum,,18S rRNA,KJ680555.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
,,,,,Litostomatea,,,,Loxophyllum,,SSU rRNA,KC493570.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
,,,,,Litostomatea,,,,Homalozoon,,SSU rRNA,L26447.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
,,,,,Armophorida,,,,Metopus,,SSU rRNA,KY432958.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
,,,,,Spirotrichea,,,,Oxytricha,,SSU rRNA,KJ081200.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
,,,,,Spirotrichea,,,,Stylonychia,,SSU rRNA,AM086667.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
,,,,,Spirotrichea,,,,Euplotes,,SSU rRNA,JX185743.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
,,,,,Spirotrichea,,,,Protocruzia,,SSU rRNA,JF694044.1,"Vdﾕa_n_, Peter, et al. ""Phylogeny and classification of the Litostomatea (Protista, Ciliophora), with emphasis on free-living taxa and the 18S rRNA gene.""ﾊMolecular phylogenetics and evolutionﾊ59.2 (2011): 510-522.",
